date,Borough,week day,Month,TMAX,TMIN,holiday,Year,Total
4/10/2006,MANHATTAN,Monday,April,62,41,No Holiday,A2006,24
4/10/2006,STATEN ISLAND,Monday,April,62,41,No Holiday,A2006,9
4/11/2006,BRONX,Tuesday,April,68,45,No Holiday,A2006,48
4/11/2006,MANHATTAN,Tuesday,April,68,45,No Holiday,A2006,21
4/11/2006,STATEN ISLAND,Tuesday,April,68,45,No Holiday,A2006,8
4/12/2006,BRONX,Wednesday,April,64,50,No Holiday,A2006,38
4/12/2006,MANHATTAN,Wednesday,April,64,50,No Holiday,A2006,23
4/12/2006,STATEN ISLAND,Wednesday,April,64,50,No Holiday,A2006,13
4/13/2006,BRONX,Thursday,April,78,55,No Holiday,A2006,39
4/13/2006,MANHATTAN,Thursday,April,78,55,No Holiday,A2006,25
4/13/2006,STATEN ISLAND,Thursday,April,78,55,No Holiday,A2006,10
4/14/2006,BRONX,Friday,April,67,54,No Holiday,A2006,32
4/14/2006,MANHATTAN,Friday,April,67,54,No Holiday,A2006,20
4/14/2006,STATEN ISLAND,Friday,April,67,54,No Holiday,A2006,4
4/15/2006,BRONX,Saturday,April,80,52,No Holiday,A2006,29
4/15/2006,MANHATTAN,Saturday,April,80,52,No Holiday,A2006,23
4/15/2006,STATEN ISLAND,Saturday,April,80,52,No Holiday,A2006,9
4/16/2006,BRONX,Sunday,April,67,51,No Holiday,A2006,23
4/16/2006,MANHATTAN,Sunday,April,67,51,No Holiday,A2006,14
4/16/2006,STATEN ISLAND,Sunday,April,67,51,No Holiday,A2006,9
4/17/2006,BRONX,Monday,April,63,47,No Holiday,A2006,19
4/17/2006,MANHATTAN,Monday,April,63,47,No Holiday,A2006,16
4/17/2006,STATEN ISLAND,Monday,April,63,47,No Holiday,A2006,4
4/18/2006,BRONX,Tuesday,April,72,47,No Holiday,A2006,5
4/18/2006,MANHATTAN,Tuesday,April,72,47,No Holiday,A2006,4
4/18/2006,STATEN ISLAND,Tuesday,April,72,47,No Holiday,A2006,2
4/19/2006,BRONX,Wednesday,April,75,51,No Holiday,A2006,3
4/19/2006,MANHATTAN,Wednesday,April,75,51,No Holiday,A2006,2
4/20/2006,BRONX,Thursday,April,83,55,No Holiday,A2006,4
4/20/2006,MANHATTAN,Thursday,April,83,55,No Holiday,A2006,4
4/21/2006,BRONX,Friday,April,62,47,No Holiday,A2006,3
4/21/2006,MANHATTAN,Friday,April,62,47,No Holiday,A2006,2
4/22/2006,BRONX,Saturday,April,47,42,No Holiday,A2006,1
4/22/2006,MANHATTAN,Saturday,April,47,42,No Holiday,A2006,5
4/22/2006,STATEN ISLAND,Saturday,April,47,42,No Holiday,A2006,1
4/23/2006,BRONX,Sunday,April,62,44,No Holiday,A2006,6
4/23/2006,MANHATTAN,Sunday,April,62,44,No Holiday,A2006,1
4/23/2006,STATEN ISLAND,Sunday,April,62,44,No Holiday,A2006,1
4/24/2006,BRONX,Monday,April,62,47,No Holiday,A2006,3
4/24/2006,MANHATTAN,Monday,April,62,47,No Holiday,A2006,5
4/24/2006,STATEN ISLAND,Monday,April,62,47,No Holiday,A2006,2
4/25/2006,MANHATTAN,Tuesday,April,71,48,No Holiday,A2006,5
4/25/2006,STATEN ISLAND,Tuesday,April,71,48,No Holiday,A2006,1
4/26/2006,BRONX,Wednesday,April,60,41,No Holiday,A2006,9
4/26/2006,MANHATTAN,Wednesday,April,60,41,No Holiday,A2006,6
4/26/2006,STATEN ISLAND,Wednesday,April,60,41,No Holiday,A2006,5
4/27/2006,BRONX,Thursday,April,74,48,No Holiday,A2006,11
4/27/2006,MANHATTAN,Thursday,April,74,48,No Holiday,A2006,9
4/27/2006,STATEN ISLAND,Thursday,April,74,48,No Holiday,A2006,5
4/28/2006,BRONX,Friday,April,64,47,No Holiday,A2006,30
4/28/2006,MANHATTAN,Friday,April,64,47,No Holiday,A2006,20
4/28/2006,STATEN ISLAND,Friday,April,64,47,No Holiday,A2006,1
4/29/2006,BRONX,Saturday,April,64,45,No Holiday,A2006,25
4/29/2006,MANHATTAN,Saturday,April,64,45,No Holiday,A2006,27
4/29/2006,STATEN ISLAND,Saturday,April,64,45,No Holiday,A2006,7
4/30/2006,BRONX,Sunday,April,70,44,No Holiday,A2006,49
4/30/2006,MANHATTAN,Sunday,April,70,44,No Holiday,A2006,13
4/30/2006,STATEN ISLAND,Sunday,April,70,44,No Holiday,A2006,11
5/1/2006,BRONX,Monday,May,71,51,No Holiday,A2006,55
5/1/2006,MANHATTAN,Monday,May,71,51,No Holiday,A2006,35
5/1/2006,STATEN ISLAND,Monday,May,71,51,No Holiday,A2006,11
5/2/2006,BRONX,Tuesday,May,70,49,No Holiday,A2006,34
5/2/2006,MANHATTAN,Tuesday,May,70,49,No Holiday,A2006,24
5/2/2006,STATEN ISLAND,Tuesday,May,70,49,No Holiday,A2006,9
5/3/2006,BRONX,Wednesday,May,71,52,No Holiday,A2006,41
